,feature,MAE_MW,RMSE_MW,MAPE_%,Bias_MW,ΔMAE_MW,ΔRMSE_MW,ΔMAPE_%,ΔBias_MW
0,fs_strong,325.36,468.02,4.12,1.97,0.00,0.00,0.00,0.00
1,fs4_cal,359.80,507.00,4.62,52.10,34.44,38.98,0.50,50.13
2,fs3_time,384.95,547.96,5.00,106.44,59.59,79.94,0.88,104.47
3,fs2_min,405.54,579.19,5.27,151.62,80.18,111.17,1.15,149.65
