horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,265.7806,345.46774,3.1604006,-110.36188
2,288.67496,374.37073,3.4350502,-108.16616
3,324.20868,423.3141,3.8308933,-110.50259
4,352.2613,458.4766,4.1581154,-99.287224
5,387.11905,501.98428,4.5307083,-112.737625
6,407.52646,529.96716,4.739129,-115.43711
7,439.3545,570.70874,5.065393,-152.90494
8,457.62384,593.6242,5.2724814,-167.1766
9,487.9896,632.4098,5.558716,-198.7165
10,493.63486,640.86774,5.5999646,-199.88005
11,508.0133,662.5,5.7168503,-205.82542
12,535.02386,697.5561,5.994453,-250.08357
13,551.5518,726.8967,6.13704,-254.1421
14,570.65424,753.8693,6.32796,-280.5459
15,592.16925,786.9286,6.5495925,-305.77325
16,603.2077,803.8486,6.656325,-318.88452
17,627.3966,838.65063,6.920171,-328.9669
18,651.37463,874.3847,7.1606293,-369.21976
19,683.66,919.3358,7.49477,-399.56528
20,696.5935,937.7012,7.6514854,-396.93222
21,716.9433,965.3353,7.8656783,-402.47324
22,731.8743,987.7505,8.020748,-412.20963
23,744.8771,1008.53845,8.15367,-411.1055
24,746.882,1014.2118,8.175698,-402.15466
25,745.63586,1015.73944,8.172238,-392.03787
26,756.73444,1030.1741,8.274956,-421.94983
27,759.28485,1036.5807,8.305002,-425.17917
28,756.7239,1038.2664,8.250518,-452.0978
29,756.95355,1042.3678,8.248869,-456.43112
30,761.84064,1048.0723,8.326452,-453.2158
31,766.64825,1055.832,8.374077,-470.2782
32,780.60394,1073.2578,8.541615,-492.74268
33,786.52576,1078.372,8.606835,-502.1824
34,781.5772,1071.5304,8.5700035,-496.8805
35,788.2002,1078.4982,8.635258,-513.5252
36,784.4926,1075.7645,8.574241,-517.9076
37,786.59784,1079.8702,8.58947,-509.80563
38,791.92053,1088.9072,8.639756,-528.76434
39,789.32947,1083.5627,8.624066,-516.3632
40,795.7217,1095.0416,8.70257,-517.1262
41,792.73065,1090.1058,8.6871805,-507.61874
42,790.1277,1089.6572,8.669459,-492.4784
43,795.2167,1102.2786,8.713774,-494.20575
44,793.19916,1100.7659,8.679054,-495.72733
45,804.4457,1122.1853,8.770506,-519.1179
46,799.0072,1112.7625,8.721098,-494.74756
47,800.4921,1105.9764,8.760965,-482.91644
48,811.83636,1121.3063,8.891663,-479.6876
