horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,187.19331,246.91986,2.4657977,46.688637
2,218.46863,290.8927,2.8647068,38.788387
3,240.81268,324.29938,3.140927,38.029007
4,264.77454,356.43033,3.4420648,15.1436405
5,280.15656,380.02377,3.6232345,21.532026
6,290.73676,395.5629,3.755376,25.093199
7,293.5039,404.4346,3.7840347,52.32464
8,299.82327,415.3766,3.8614602,66.8038
9,309.76566,425.47726,3.990219,55.8847
10,315.63666,434.6143,4.06618,54.076233
11,319.68365,441.14767,4.1147103,49.578274
12,324.3163,446.81458,4.170236,37.702473
13,328.05795,455.52786,4.21217,52.61627
14,332.73868,463.02914,4.279224,62.103542
15,334.979,468.90082,4.314952,75.10396
16,344.03247,481.74658,4.432736,81.43632
17,346.235,485.32895,4.452172,84.92138
18,350.35303,493.0093,4.5042777,84.13811
19,354.73944,500.71902,4.557367,85.77765
20,355.37262,502.76715,4.5648975,88.66295
21,359.1957,507.8955,4.6122,88.42582
22,363.08975,512.79675,4.665166,90.05598
23,360.60727,513.1337,4.6250997,104.22388
24,357.73532,510.30008,4.5814743,79.18233
25,356.41068,510.37973,4.556675,74.53408
26,359.49185,514.91907,4.591701,83.16605
27,359.51282,515.05396,4.5901494,91.56675
28,362.70682,520.05835,4.6298423,86.78424
29,361.6165,518.477,4.6148224,83.0691
30,363.27362,520.9026,4.6348653,87.13363
31,366.27457,525.05096,4.6735597,85.16733
32,367.46637,527.7,4.694841,88.966225
33,365.84988,527.59625,4.6810966,93.99265
34,366.92102,528.8028,4.6982565,92.831024
35,370.05893,532.5814,4.7471356,98.41651
36,369.60303,531.52783,4.74483,96.04489
37,365.5944,528.93964,4.6812716,85.37091
38,362.3025,524.82153,4.6317806,71.02317
39,355.14252,516.82367,4.520232,53.50167
40,346.8632,508.026,4.401255,53.32152
41,341.77557,504.27185,4.328933,54.15051
42,341.25214,505.7312,4.3206477,61.71591
43,342.59448,508.19803,4.3329844,60.154522
44,341.79947,509.7807,4.316458,59.937305
45,334.26736,504.03082,4.196896,34.188183
46,337.4112,508.8396,4.242009,40.22037
47,347.05582,519.6064,4.364299,36.21206
48,362.83292,536.566,4.570164,48.235428
