horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,167.38223,222.38484,2.1931014,-3.3303788
2,193.20303,259.6206,2.5228498,14.732554
3,213.46068,290.47424,2.7633412,15.702925
4,235.67108,322.16708,3.034985,11.339498
5,251.56523,346.75504,3.2279816,8.460865
6,266.1887,368.31314,3.4089334,13.849903
7,280.22498,388.95837,3.5852451,16.87531
8,293.70743,407.51874,3.7549179,17.417374
9,308.7695,426.19592,3.937706,10.595846
10,331.30542,453.05237,4.2308965,2.3808956
11,340.1185,466.20258,4.3383884,1.3398197
12,347.4513,474.7862,4.4395986,-2.9513535
13,351.649,481.2246,4.4852047,-7.8508058
14,357.8338,489.09418,4.5686493,-10.521224
15,363.147,495.61713,4.6336775,-16.239164
16,373.96948,509.24075,4.789391,-18.664557
17,380.68286,517.5073,4.8861146,-10.529895
18,383.8841,523.7466,4.929007,-8.374175
19,383.33994,528.7768,4.91259,-1.0112275
20,380.85696,531.0744,4.8676353,9.786301
21,375.69186,527.01935,4.793001,11.696419
22,370.52734,521.7796,4.726052,13.436771
23,363.91385,515.14874,4.63824,14.30923
24,359.39926,511.9376,4.578598,21.31996
25,356.20526,509.0711,4.5348616,21.957323
26,354.99316,510.22913,4.517394,39.07094
27,350.33398,507.32523,4.455331,45.51706
28,347.9187,506.40753,4.4140954,47.65184
29,344.2961,503.9315,4.35838,38.64671
30,343.2364,503.04742,4.3285804,24.40414
31,347.34814,507.01816,4.3784933,14.458936
32,351.76495,509.88013,4.446856,14.767152
33,357.58014,515.95,4.5277805,16.096577
34,357.09213,516.4604,4.5272593,22.596899
35,361.33893,520.6756,4.584334,14.183415
36,355.6223,515.0042,4.5072026,6.042245
37,349.16153,508.7176,4.4045434,-4.0203667
38,347.41547,506.69553,4.374192,-12.58989
39,341.4356,500.76508,4.283601,-19.230228
40,341.11163,501.60083,4.2680287,-20.906397
41,338.4987,500.97086,4.2232747,-23.938684
42,336.03214,500.1953,4.187131,-28.777222
43,337.2253,503.9282,4.193339,-34.40966
44,337.08612,506.20563,4.1822295,-30.873417
45,334.8371,508.26764,4.14189,-38.48648
46,335.51395,511.92227,4.1443186,-45.581
47,340.90973,521.1428,4.215038,-42.54318
48,352.4415,532.6427,4.367254,-32.34971
