horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,215.81097,279.71027,2.5349264,-71.30259
2,250.31567,323.37915,2.93807,-82.283066
3,295.50583,381.9859,3.4614975,-92.045265
4,333.57178,432.01352,3.9055037,-83.85426
5,363.19455,472.7985,4.2311196,-88.272514
6,395.9849,513.6214,4.5856667,-99.655876
7,423.75394,551.43994,4.8594685,-114.522804
8,444.02017,582.44214,5.048661,-130.08537
9,472.27914,621.2511,5.346396,-150.46909
10,493.67294,648.2273,5.5882773,-157.64989
11,515.1034,674.32117,5.8321323,-151.47348
12,541.2948,706.453,6.1273336,-162.25648
13,559.979,734.35724,6.323201,-173.38647
14,571.59546,757.8927,6.4444437,-175.3579
15,587.58954,784.2305,6.6128016,-185.75888
16,606.05835,813.07965,6.812162,-205.57579
17,619.17206,835.97,6.9548316,-218.16142
18,641.3895,868.8728,7.1734796,-242.28993
19,651.0294,888.23724,7.2579064,-254.137
20,663.55273,909.6966,7.3725553,-270.57202
21,671.90344,922.63885,7.4695816,-272.79572
22,679.76917,934.10266,7.5621595,-278.6906
23,691.1305,950.45166,7.6774554,-304.00153
24,702.0707,968.5745,7.7897844,-315.09393
25,712.06335,983.6508,7.8890033,-329.49356
26,723.90424,998.58234,8.026764,-342.5736
27,726.98486,1005.93256,8.055113,-337.61072
28,737.45087,1018.7783,8.178573,-337.89066
29,745.7022,1029.9187,8.257859,-347.57727
30,750.102,1031.7646,8.316669,-349.3429
31,751.0698,1032.0028,8.326264,-360.48672
32,750.66125,1031.971,8.314829,-365.64713
33,747.5455,1029.4674,8.276961,-371.43686
34,749.3268,1030.7709,8.292632,-376.93665
35,750.7956,1031.2368,8.308744,-383.37698
36,748.9004,1028.6012,8.292257,-383.08484
37,751.65485,1026.7094,8.332878,-393.0566
38,752.0521,1026.0813,8.331648,-399.59457
39,764.796,1040.539,8.4546585,-433.5382
40,756.50793,1024.8706,8.384434,-418.86398
41,766.0453,1035.8328,8.474226,-441.8564
42,768.599,1035.9475,8.510178,-446.72656
43,774.0772,1045.5406,8.554087,-462.23892
44,780.46814,1055.6421,8.624075,-462.76138
45,793.44476,1076.6604,8.761264,-470.8272
46,808.0067,1094.9529,8.924632,-477.70554
47,812.4473,1105.5558,8.973165,-466.04462
48,820.7399,1117.7872,9.066233,-463.4301
