horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,225.7071,296.96158,2.6761382,-45.092632
2,268.00394,352.05533,3.1790879,-37.053547
3,305.98282,400.2952,3.5981438,-45.65419
4,349.793,457.38025,4.075637,-70.7515
5,384.85956,503.58673,4.4454837,-90.610916
6,414.9003,546.83295,4.755775,-108.72266
7,433.00085,572.4598,4.94158,-107.904915
8,447.52466,596.58936,5.0832415,-122.14425
9,464.95468,620.70044,5.2505403,-141.14561
10,495.06485,658.1025,5.585534,-169.93695
11,516.88983,685.66656,5.804729,-189.21112
12,535.43835,706.6496,6.006736,-203.59125
13,552.8929,726.5322,6.1888614,-224.16249
14,569.61237,747.0921,6.373769,-239.78209
15,592.5034,776.32434,6.6178074,-276.6876
16,616.5491,809.8963,6.876515,-308.34897
17,632.4288,832.2365,7.044127,-320.80505
18,649.3138,859.3108,7.2173557,-337.84857
19,666.4933,887.6382,7.3860073,-347.68805
20,678.28644,907.88586,7.506912,-335.7296
21,691.04297,926.32275,7.6426415,-346.90033
22,701.381,942.15674,7.759212,-344.74115
23,710.9461,956.6099,7.8604794,-361.7241
24,719.3426,971.0654,7.9569044,-366.9137
25,725.2224,985.42114,8.018396,-366.05817
26,728.76575,995.7002,8.051126,-363.18124
27,725.4278,998.0673,8.007681,-348.32483
28,725.2136,1000.92914,7.9865193,-354.06668
29,729.9725,1008.80383,8.031993,-367.67838
30,737.9551,1019.7608,8.097124,-395.75366
31,747.3268,1029.6765,8.206949,-412.51395
32,754.52747,1035.8145,8.293338,-434.65024
33,766.5052,1046.2467,8.4387865,-444.38046
34,764.56287,1045.2266,8.423675,-425.88278
35,768.13776,1049.1908,8.471732,-431.65323
36,769.5404,1049.2611,8.486677,-448.7326
37,768.8115,1055.2238,8.429547,-462.25974
38,780.27545,1062.1134,8.564531,-491.5121
39,780.3164,1062.0398,8.53447,-499.00156
40,782.29767,1064.9945,8.533276,-508.44986
41,780.01056,1062.3098,8.499527,-507.30923
42,784.3702,1070.4065,8.5385685,-519.35236
43,800.8091,1094.871,8.695353,-554.26984
44,804.84393,1105.8397,8.727126,-553.41754
45,818.2403,1129.3499,8.849442,-565.18274
46,826.3453,1141.4688,8.9321785,-572.7434
47,840.6593,1160.5878,9.088875,-573.99854
48,840.4708,1157.5121,9.103574,-557.0761
