horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,238.24562,307.36203,2.868508,-34.630375
2,282.1866,364.29822,3.4001107,-42.226856
3,312.9946,404.98148,3.7528887,-39.154488
4,349.88043,450.60532,4.163147,-77.36318
5,378.1219,486.0594,4.4432735,-80.12328
6,395.00357,510.53305,4.5983033,-86.93565
7,408.08072,532.0534,4.7192984,-78.80965
8,426.2656,558.2314,4.911018,-68.27152
9,446.77124,581.4973,5.128123,-98.84382
10,466.75626,607.198,5.3517184,-115.83717
11,489.43854,641.56165,5.5733194,-142.54115
12,517.2995,678.10645,5.8560348,-188.37207
13,538.6262,707.2405,6.082011,-197.12245
14,555.86084,732.4526,6.2524095,-199.05836
15,569.6806,754.52405,6.396568,-198.03714
16,588.0095,781.1541,6.599416,-207.7283
17,604.8713,810.7632,6.770264,-221.48943
18,620.8987,833.45557,6.9364347,-241.20042
19,646.56085,868.8004,7.2217255,-257.9945
20,657.57056,886.2449,7.3381977,-262.9277
21,672.1741,907.1179,7.478158,-278.4691
22,687.64734,926.6165,7.662071,-281.97278
23,694.9123,938.67145,7.7436314,-271.33694
24,713.903,960.4454,7.9412208,-303.9864
25,723.2807,976.0871,8.030465,-307.80988
26,737.2799,995.75287,8.182197,-301.60757
27,735.5774,995.2324,8.159956,-282.8683
28,737.74207,999.27716,8.186464,-273.4944
29,739.71124,999.39215,8.221116,-264.59445
30,735.8773,996.9325,8.186992,-264.0902
31,736.71497,996.5263,8.206792,-259.97153
32,739.7496,1002.7563,8.227529,-284.3666
33,740.86847,1008.7134,8.232486,-292.13348
34,747.72455,1015.21826,8.322181,-308.5186
35,752.90015,1022.8226,8.383487,-321.3728
36,750.46857,1023.3396,8.365195,-327.10806
37,752.3546,1027.4413,8.372864,-350.28348
38,752.11426,1027.9834,8.360408,-371.3996
39,753.0803,1031.1058,8.3492565,-393.10303
40,749.54474,1028.1185,8.29205,-393.49445
41,757.68835,1039.363,8.369866,-403.00922
42,752.75433,1027.6895,8.335757,-376.01434
43,756.4371,1027.0958,8.399253,-368.47388
44,760.5058,1032.5674,8.430087,-376.4823
45,763.3809,1036.1584,8.451364,-388.29272
46,765.57404,1043.4873,8.477635,-383.62115
47,771.1747,1052.6631,8.536216,-388.4621
48,771.54626,1053.9884,8.564207,-362.76413
