horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,161.71819,211.69739,2.0989895,-19.060211
2,185.7787,243.8431,2.4129012,-25.396544
3,211.76064,280.30957,2.7462647,-27.821918
4,238.13628,317.59152,3.0850503,-25.896294
5,258.28687,347.21945,3.3399835,-13.166177
6,276.64453,374.7973,3.562757,-22.150629
7,289.13217,394.5408,3.7101433,-23.982061
8,291.94055,401.89377,3.7402022,-11.098776
9,301.15463,416.69687,3.8605523,5.03633
10,308.80206,429.2288,3.9524026,8.470789
11,316.2791,441.5289,4.0392647,11.934728
12,323.55777,451.9269,4.128379,12.168159
13,321.94104,454.22937,4.10681,25.206865
14,326.19724,464.39902,4.160752,41.996616
15,331.58914,472.82025,4.2331905,39.845863
16,336.5772,482.2993,4.2919126,54.367706
17,343.9762,493.79196,4.3867507,47.27602
18,351.23004,505.2546,4.483301,50.072098
19,353.55435,513.32043,4.5158224,54.184128
20,354.9691,520.73944,4.5353484,65.776695
21,352.13528,521.6577,4.4922485,61.035908
22,353.86246,525.76825,4.5068135,58.491943
23,356.86615,529.99414,4.533761,56.357433
24,359.6924,532.91815,4.5609713,43.782394
25,363.60275,536.23456,4.6030574,32.80195
26,364.37823,536.301,4.6166453,31.091438
27,364.42218,536.49146,4.6156025,23.952322
28,359.52057,533.50055,4.546305,27.40651
29,358.5574,531.23096,4.527452,18.7995
30,355.8211,528.5146,4.4880195,18.088295
31,356.79227,530.1628,4.5015163,15.705295
32,354.1987,528.3173,4.468095,20.435173
33,351.62567,525.11926,4.436478,11.280204
34,351.8148,524.1927,4.4414477,1.1064684
35,351.98016,524.0934,4.448025,1.9858584
36,350.9495,521.10895,4.4404964,-5.385031
37,351.79163,521.08545,4.4524083,-10.518708
38,354.1223,520.7957,4.4733224,-21.139965
39,353.9054,520.7852,4.4485483,-36.38189
40,353.6839,520.1848,4.4410644,-45.165184
41,351.75226,519.6256,4.410114,-42.10854
42,349.88675,519.7696,4.38332,-37.93083
43,346.82272,518.68726,4.3334446,-39.756317
44,344.1498,518.77893,4.2944255,-31.88473
45,347.23672,523.22864,4.329115,-46.22135
46,348.13425,525.2945,4.35081,-35.250923
47,352.0868,529.71515,4.404481,-38.990044
48,363.19293,540.77057,4.548945,-40.209183
