horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,198.84076,262.10727,2.6080053,11.174066
2,216.43549,287.3812,2.8128762,-2.977795
3,241.01305,322.4075,3.1161497,3.8421059
4,258.16418,348.38168,3.3232932,1.8935959
5,277.0991,377.13425,3.5617023,4.27417
6,289.77145,395.21002,3.718018,10.377246
7,305.78064,416.64038,3.917623,5.971376
8,314.62494,429.88403,4.0418806,13.543025
9,323.17792,442.74918,4.1452103,12.553327
10,322.69336,443.8082,4.137788,21.486864
11,327.74084,451.4973,4.2028074,35.90485
12,336.8471,463.4738,4.309617,12.878947
13,338.81937,467.74344,4.3209405,4.9529667
14,342.1204,473.1372,4.3584433,-9.542836
15,351.13272,488.5451,4.466809,-10.563785
16,351.66107,491.5242,4.4613643,-4.559411
17,362.78027,504.82986,4.6042266,2.6581197
18,368.99564,513.5348,4.6731524,-8.294184
19,376.40677,522.70264,4.757046,-19.705065
20,375.6118,524.18054,4.7600975,-3.7651439
21,373.46582,524.5383,4.726875,-5.86788
22,371.42203,525.5796,4.6977797,-11.228775
23,371.30005,529.044,4.688017,-7.256295
24,370.65167,530.09033,4.6766295,-4.6480947
25,370.65527,530.7029,4.679498,-0.14250082
26,368.12683,526.3175,4.6397066,-22.755297
27,364.27197,521.8326,4.5954127,-15.105183
28,363.68582,520.6824,4.5865903,-17.858166
29,363.32724,520.46564,4.5826683,-7.638186
30,367.8235,523.375,4.656136,0.2905297
31,366.664,522.07214,4.640234,0.9606662
32,374.68362,528.3786,4.7586613,-11.888469
33,368.20847,522.0173,4.6651964,-22.01398
34,367.3058,521.9777,4.6624155,-13.145134
35,364.1893,518.87396,4.612232,-27.18277
36,361.29303,517.98676,4.5610023,-31.06575
37,362.32846,520.3164,4.575086,-27.580948
38,364.30487,522.5432,4.6011887,-33.582607
39,358.21844,517.74805,4.5094767,-32.414284
40,358.10355,517.97046,4.5018563,-33.82802
41,356.38846,516.239,4.4849043,-23.703169
42,350.48224,511.48108,4.404477,-10.990276
43,344.71793,508.896,4.323519,-6.742836
44,339.11838,504.38998,4.238817,-4.9911118
45,336.53238,505.88007,4.193077,-16.304634
46,340.31552,511.12714,4.24322,-11.428561
47,346.98956,519.2917,4.3267565,-12.020157
48,366.41187,539.9734,4.5718613,-19.777086
