,feature,MAE_MW,RMSE_MW,MAPE_%,Bias_MW,ΔMAE_MW,ΔRMSE_MW,ΔMAPE_%,ΔBias_MW
0,hot_day_a1_5,630.12,847.70,7.06,-250.37,0.00,0.00,0.00,0.00
1,hot_day_a2_0,649.45,878.57,7.18,-339.60,19.33,30.87,0.12,-89.23
2,fs_strong,675.39,921.19,7.48,-335.69,45.27,73.49,0.42,-85.32
3,hot_day_a3_0,684.27,943.74,7.52,-401.68,54.15,96.04,0.46,-151.31
