,feature,MAE_MW,RMSE_MW,MAPE_%,Bias_MW,ΔMAE_MW,ΔRMSE_MW,ΔMAPE_%,ΔBias_MW
0,hot_slot_a2_0,638.19,864.47,7.12,-289.62,0.00,0.00,0.00,0.00
1,hot_slot_a3_0,659.08,903.23,7.34,-312.78,20.89,38.76,0.22,-23.16
2,hot_slot_a1_5,659.17,893.45,7.28,-369.71,20.98,28.98,0.16,-80.09
3,fs_strong,675.39,921.19,7.48,-335.69,37.20,56.72,0.36,-46.07
