,feature,MAE_MW,RMSE_MW,MAPE_%,Bias_MW,ΔMAE_MW,ΔRMSE_MW,ΔMAPE_%,ΔBias_MW
0,fs_strong,325.36,468.02,4.12,1.97,0.00,0.00,0.00,0.00
1,hot_slot_a2_0,325.63,467.70,4.14,15.13,0.27,-0.32,0.02,13.16
2,hot_slot_a3_0,329.30,478.38,4.18,4.98,3.94,10.36,0.06,3.01
3,hot_slot_a1_5,341.47,483.47,4.33,-7.25,16.11,15.45,0.21,-9.22
