MAE,RMSE,MAPE,Bias,cohort,model
1154.3859818075532,1512.8394297299392,13.27513551436307,-231.10943191721208,overall_all,LightGBM
1838.79086637753,2351.928614198612,20.12993339089892,-928.1108994217265,overall_all,Operator(op_24h_latest)
1434.3924629644666,1703.531796729667,17.251347215737855,-157.90010874714676,hotday_all,LightGBM
1846.1639840534979,2248.5160756420682,22.629508352338352,165.8473431069959,hotday_all,Operator(op_24h_latest)
