cohort,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
overall_all,335.06214981261303,516.5285935211311,4.235310422041044,81.79908597182735
hotday_all,547.6285673717608,813.8440591275336,5.769042650389943,-332.37730775683997
