"year","month","date","n_obv","n_hot","n_cold","min_temp","max_temp","min_actual","max_actual","mean_actual","sum_actual","min_forecast","max_forecast","mean_forecast","sum_forecast","mae","rmse","max_abs_error","mae_hot","mae_normal","mae_cold","rmse_hot","rmse_normal","rmse_cold"
"2010",1,2010-01-23,46,9,0,21.2,41.1,7228.92,12278.96,9566.13326086956,440042.13,7142.36,12430.95,9600.92956521739,441642.76,109.90847826087,155.446281543343,492,18.1741304347827,91.7343478260869,NA,51.8500375455821,146.543918509687,NA
"2010",1,2010-01-24,47,0,0,17.7,23,6476.67,9004.24,8058.93723404255,378770.05,6429.97,9026.73,7980.91234042553,375102.88,132.067021276596,158.477907977804,359.17,NA,132.067021276596,NA,NA,158.477907977804,NA
"2010",1,2010-01-25,48,0,0,19.2,27.7,6570.87,11418.89,9304.5175,446616.84,6526.01,11490.12,9337.19395833333,448185.31,111.270208333333,137.643674081243,377.41,NA,111.270208333333,NA,NA,137.643674081243,NA
"2010",1,2010-01-26,48,0,0,23.2,32.1,6699.96,11504.61,9294.97083333333,446158.6,6571.39,11512.29,9248.27791666667,443917.34,113.6375,172.320455873643,522.900000000001,NA,113.6375,NA,NA,172.320455873643,NA
"2010",1,2010-01-27,48,0,0,21.9,26.6,6915.36,11681.57,9571.34208333333,459424.42,6706.92,11740.63,9553.74520833333,458579.77,142.691875,189.550438027059,544.009999999998,NA,142.691875,NA,NA,189.550438027059,NA
"2010",1,2010-01-28,48,0,0,20.5,27.1,6751.38,11452.11,9474.53708333333,454777.78,6748.7,11571.53,9521.703125,457041.75,124.485625,167.85593162367,511.559999999999,NA,124.485625,NA,NA,167.85593162367,NA
"2010",1,2010-01-29,48,0,0,18,27.4,6644.49,11453.22,9396.95083333333,451053.64,6679.95,11665.87,9542.531875,458041.53,145.581041666667,183.466162769188,550.620000000001,NA,145.581041666667,NA,NA,183.466162769188,NA
"2010",1,2010-01-30,48,0,0,20.5,26.8,6502.34,9461.36,8389.76166666667,402708.56,6445.06,9342.31,8310.98791666667,398927.42,91.0837499999999,117.022034303374,282.24,NA,91.0837499999999,NA,NA,117.022034303374,NA
"2010",1,2010-01-31,48,0,0,20.7,28.5,6531.57,9749.46,8440.61833333333,405149.68,6521.22,9660.47,8380.43020833333,402260.65,84.7410416666667,115.944103693331,290.67,NA,84.7410416666667,NA,NA,115.944103693331,NA
"2010",2,2010-02-01,47,0,0,19.6,29.2,6661.03,11580.28,9557.54638297872,449204.68,6622.67,11728.58,9546.8214893617,448700.61,118.29085106383,153.60148084254,510.449999999999,NA,118.29085106383,NA,NA,153.60148084254,NA
"2010",2,2010-02-02,48,0,0,21.3,26.9,6785.97,10625.12,9140.97895833333,438766.99,6632.76,10873.14,9154.02875,439393.38,113.297708333333,141.001633419912,370.48,NA,113.297708333333,NA,NA,141.001633419912,NA
"2010",2,2010-02-03,47,0,0,21.3,28,6637.44,11024.02,9359.21659574468,439883.18,6702.05,10987.67,9283.55063829787,436326.88,99.2497872340424,124.879890584275,329.4,NA,99.2497872340424,NA,NA,124.879890584275,NA
"2010",2,2010-02-04,48,0,0,22.3,27.8,6834.13,11138.52,9524.44770833333,457173.49,6664.9,11113.51,9443.05666666667,453266.72,114.281458333333,166.875315499078,526.719999999999,NA,114.281458333333,NA,NA,166.875315499078,NA
"2010",2,2010-02-05,46,0,0,21.2,28.4,6947.68,11530.39,9633.61260869565,443146.18,6973.3,11566.61,9593.04369565217,441280.01,96.0036956521739,125.886568187396,407.799999999999,NA,96.0036956521739,NA,NA,125.886568187396,NA
"2010",2,2010-02-06,48,0,0,20.3,22.9,6546.76,9326.52,8251.320625,396063.39,6412.08,9296.8,8264.9275,396716.52,73.1035416666668,92.5865407447721,231.660000000001,NA,73.1035416666668,NA,NA,92.5865407447721,NA
"2010",2,2010-02-07,48,0,0,20.1,25.4,6218.93,9282.9,8105.730625,389075.07,6290.16,9358.38,8103.62958333333,388974.22,72.5606249999999,89.7077437316126,271.67,NA,72.5606249999999,NA,NA,89.7077437316126,NA
"2010",2,2010-02-08,48,0,0,21.5,27.6,6655.19,11299.68,9514.85166666667,456712.88,6659.68,11565.28,9522.38708333333,457074.58,94.2679166666668,124.443640439491,319.880000000001,NA,94.2679166666668,NA,NA,124.443640439491,NA
"2010",2,2010-02-09,47,0,0,21.5,28.5,6909.9,11879.3,9791.32340425532,460192.2,6909.12,11611.14,9737.93872340426,457683.12,79.1089361702128,106.410019684998,301.73,NA,79.1089361702128,NA,NA,106.410019684998,NA
"2010",2,2010-02-10,46,0,0,19.4,29.8,6929.56,12394.02,9969.99739130435,458619.88,6904.98,12246.59,9934.69065217391,456995.77,74.1632608695653,103.685607288069,304.43,NA,74.1632608695653,NA,NA,103.685607288069,NA
