"full_date","n_obv","min_temp","min_temp_time","max_temp","max_temp_time"
2010-03-18,50,13.8,"18/3/2010 5:00",27.9,"18/3/2010 13:00"
2010-03-19,56,14.3,"19/3/2010 6:00",30.7,"19/3/2010 13:30"
2010-03-20,47,16.8,"20/3/2010 5:00",30.4,"20/3/2010 14:00"
2010-03-21,50,16.7,"21/3/2010 6:00",34.7,"21/3/2010 14:30"
2010-03-22,40,19.7,"22/3/2010 7:09",23.7,"22/3/2010 15:00"
2010-03-23,47,15.8,"23/3/2010 6:00",29.2,"23/3/2010 14:00"
2010-03-24,48,17.3,"24/3/2010 6:00",25.2,"24/3/2010 12:00"
2010-03-25,47,16.3,"25/3/2010 6:30",26.5,"25/3/2010 13:30"
2010-03-26,54,17.5,"26/3/2010 3:30",34.3,"26/3/2010 14:00"
2010-03-27,45,21.7,"27/3/2010 23:30",26.5,"27/3/2010 12:30"
2010-03-28,52,18.4,"28/3/2010 5:30",28,"28/3/2010 12:30"
2010-03-29,46,21.1,"29/3/2010 23:00",27.4,"29/3/2010 12:00"
2010-03-30,47,19.2,"30/3/2010 18:00",21.6,"30/3/2010 13:00"
2010-03-31,62,17.3,"31/3/2010 22:30",22.2,"31/3/2010 13:30"
2010-04-01,47,14.2,"1/4/2010 5:30",24.5,"1/4/2010 14:00"
2010-04-02,47,16.4,"2/4/2010 1:30",22.7,"2/4/2010 12:30"
2010-04-03,61,14.3,"3/4/2010 6:00",22.3,"3/4/2010 11:00"
2010-04-04,57,14.2,"4/4/2010 22:00",20.7,"4/4/2010 13:30"
2010-04-05,51,13.7,"5/4/2010 6:30",20.8,"5/4/2010 16:00"
2010-04-06,48,14.9,"6/4/2010 6:30",23.5,"6/4/2010 13:30"
2010-04-07,52,17.8,"7/4/2010 6:00",24.5,"7/4/2010 13:00"
2010-04-08,55,16.6,"8/4/2010 23:30",27.5,"8/4/2010 13:30"
2010-04-09,48,14.7,"9/4/2010 6:30",23.2,"9/4/2010 12:30"
2010-04-10,51,14.7,"10/4/2010 3:00",27.3,"10/4/2010 15:30"
2010-04-11,48,15.6,"11/4/2010 2:00",27.5,"11/4/2010 12:30"
2010-04-12,48,13.4,"12/4/2010 23:00",23.2,"12/4/2010 15:00"
2010-04-13,46,10,"13/4/2010 2:00",20.6,"13/4/2010 10:30"
2010-04-14,47,9.3,"14/4/2010 4:30",24.8,"14/4/2010 15:00"
2010-04-15,48,11.5,"15/4/2010 5:00",23.4,"15/4/2010 13:00"
2010-04-16,47,14,"16/4/2010 3:00",21.4,"16/4/2010 13:00"
2010-04-17,53,13.2,"17/4/2010 6:30",24,"17/4/2010 12:00"
2010-04-18,57,14,"18/4/2010 6:04",24.7,"18/4/2010 11:30"
2010-04-19,63,14.1,"19/4/2010 5:14",25.4,"19/4/2010 14:30"
2010-04-20,56,13.9,"20/4/2010 5:30",25.6,"20/4/2010 13:30"
2010-04-21,54,13.5,"21/4/2010 1:54",25.6,"21/4/2010 13:30"
2010-04-22,55,13.2,"22/4/2010 4:52",28.3,"22/4/2010 14:30"
2010-04-23,57,14.3,"23/4/2010 6:00",29.9,"23/4/2010 15:00"
2010-04-24,47,16.3,"24/4/2010 6:00",28.1,"24/4/2010 13:00"
2010-04-25,54,14.5,"25/4/2010 23:30",21.7,"25/4/2010 14:00"
2010-04-26,47,10.2,"26/4/2010 23:00",20.7,"26/4/2010 13:00"
2010-04-27,47,8.1,"27/4/2010 4:00",19.6,"27/4/2010 14:00"
2010-04-28,47,7.6,"28/4/2010 6:30",24.2,"28/4/2010 15:30"
2010-04-29,47,8.1,"29/4/2010 6:30",24.6,"29/4/2010 15:00"
2010-04-30,46,9,"30/4/2010 6:00",19.7,"30/4/2010 15:30"
2010-05-01,43,11.8,"1/5/2010 3:00",21.6,"1/5/2010 14:00"
2010-05-02,45,10.4,"2/5/2010 2:30",25.9,"2/5/2010 15:30"
2010-05-03,52,11.2,"3/5/2010 5:30",22.9,"3/5/2010 11:00"
2010-05-04,64,12.3,"4/5/2010 3:17",25,"4/5/2010 12:30"
2010-05-05,53,11,"5/5/2010 4:30",20.4,"5/5/2010 11:30"
2010-05-06,48,7.4,"6/5/2010 6:00",20.8,"6/5/2010 14:30"
2010-05-07,48,6.8,"7/5/2010 7:00",22.4,"7/5/2010 16:00"
2010-05-08,46,9,"8/5/2010 7:00",23.1,"8/5/2010 13:30"
2010-05-09,50,10.1,"9/5/2010 2:00",24.4,"9/5/2010 14:30"
2010-05-10,55,9.1,"10/5/2010 4:30",24.2,"10/5/2010 13:30"
2010-05-11,58,8,"11/5/2010 6:30",25.9,"11/5/2010 13:30"
2010-05-12,48,8.4,"12/5/2010 23:30",17.8,"12/5/2010 14:00"
2010-05-13,48,5.7,"13/5/2010 4:30",20.6,"13/5/2010 13:30"
2010-05-14,48,8.1,"14/5/2010 6:00",19.5,"14/5/2010 13:00"
2010-05-15,48,8,"15/5/2010 7:00",20.4,"15/5/2010 12:00"
2010-05-16,48,7.6,"16/5/2010 6:30",21.1,"16/5/2010 13:30"
2010-05-17,56,11.2,"17/5/2010 6:44",18.2,"17/5/2010 13:00"
2010-05-18,70,12,"18/5/2010 5:54",16.2,"18/5/2010 14:00"
2010-05-19,65,11.1,"19/5/2010 23:20",18.7,"19/5/2010 14:00"
2010-05-20,59,8.3,"20/5/2010 6:30",19.2,"20/5/2010 12:00"
2010-05-21,35,10,"21/5/2010 0:00",19,"21/5/2010 11:00"
2010-05-22,52,10,"22/5/2010 6:00",17.4,"22/5/2010 12:30"
2010-05-23,55,8.6,"23/5/2010 23:00",15.1,"23/5/2010 16:00"
2010-05-24,56,7.5,"24/5/2010 4:30",18.5,"24/5/2010 13:00"
2010-05-25,63,11.5,"25/5/2010 23:30",16.2,"25/5/2010 15:00"
2010-05-26,61,11.1,"26/5/2010 0:30",17.8,"26/5/2010 22:30"
2010-05-27,50,11.5,"27/5/2010 23:30",18.3,"27/5/2010 13:30"
2010-05-28,56,9,"28/5/2010 6:01",21,"28/5/2010 14:30"
2010-05-29,59,12.1,"29/5/2010 22:30",16.6,"29/5/2010 12:30"
2010-05-30,49,8.6,"30/5/2010 7:30",18.8,"30/5/2010 15:00"
2010-05-31,74,11.1,"31/5/2010 2:30",18.9,"31/5/2010 13:30"
2010-06-01,53,9.5,"1/6/2010 23:01",18.4,"1/6/2010 14:30"
2010-06-02,52,8.6,"2/6/2010 4:30",18.6,"2/6/2010 11:30"
2010-06-03,67,13.8,"3/6/2010 5:30",17.9,"3/6/2010 16:00"
2010-06-04,61,13.9,"4/6/2010 23:30",18.3,"4/6/2010 8:30"
2010-06-05,50,11.6,"5/6/2010 23:30",19,"5/6/2010 12:00"
2010-06-06,54,8.6,"6/6/2010 6:30",17.7,"6/6/2010 14:00"
2010-06-07,52,6.4,"7/6/2010 7:00",15.3,"7/6/2010 14:30"
2010-06-08,55,7.3,"8/6/2010 5:30",17.8,"8/6/2010 13:30"
2010-06-09,61,4.6,"9/6/2010 6:00",16.6,"9/6/2010 13:30"
2010-06-10,49,5.5,"10/6/2010 23:30",16,"10/6/2010 15:00"
2010-06-11,48,3.6,"11/6/2010 6:30",17,"11/6/2010 14:00"
2010-06-12,48,5,"12/6/2010 0:30",15.5,"12/6/2010 12:00"
2010-06-13,48,5.2,"13/6/2010 1:30",16.5,"13/6/2010 13:30"
2010-06-14,69,3,"14/6/2010 6:30",18,"14/6/2010 14:00"
2010-06-15,57,4.1,"15/6/2010 4:00",19,"15/6/2010 14:30"
2010-06-16,45,5,"16/6/2010 6:30",19.6,"16/6/2010 14:00"
2010-06-17,30,12.7,"17/6/2010 19:30",17.4,"17/6/2010 15:30"
2010-06-18,48,5.1,"18/6/2010 7:00",17.3,"18/6/2010 15:00"
2010-06-19,52,3.1,"19/6/2010 5:00",19.3,"19/6/2010 14:00"
2010-06-20,47,4.6,"20/6/2010 7:00",18.8,"20/6/2010 13:30"
2010-06-21,59,4.9,"21/6/2010 3:37",16.8,"21/6/2010 12:30"
2010-06-22,54,10.6,"22/6/2010 8:00",17,"22/6/2010 12:00"
2010-06-23,77,8.4,"23/6/2010 3:33",15.4,"23/6/2010 12:00"
2010-06-24,54,9.7,"24/6/2010 22:00",18,"24/6/2010 14:30"
