timestamp,is_hot_day,true,op_24h
2019-01-17 15:30:00,1,12976.16,13492.56
2019-01-17 16:00:00,1,13096.69,13737.39
2019-01-17 16:30:00,1,13249.45,13818.79
2019-01-17 17:00:00,1,13267.43,13769.41
2019-01-17 17:30:00,1,13301.42,13453.43
2019-01-17 18:00:00,1,13120.67,13108.01
2019-01-17 18:30:00,1,12984.96,12694.57
2019-01-17 19:00:00,1,12680.21,12240.78
2019-01-17 19:30:00,1,12380.26,11920.45
2019-01-17 20:00:00,1,12190.71,11627.22
2019-01-17 20:30:00,1,12022.12,11019.8
2019-01-17 21:00:00,1,11736.28,10593.17
2019-01-17 21:30:00,1,11343.09,10224.41
2019-01-17 22:00:00,1,11068.88,9795.87
2019-01-17 22:30:00,1,10781.16,9406.55
2019-01-17 23:00:00,1,10412.6,8976.64
2019-01-17 23:30:00,1,9859.5,8655.83
2019-01-18 00:00:00,1,9433.01,8399.41
2019-01-18 00:30:00,1,9034.41,8199.69
2019-01-18 01:00:00,1,8644.4,7991.05
2019-01-18 01:30:00,1,8342.84,7739.61
2019-01-18 02:00:00,1,7940.15,7516.72
2019-01-18 02:30:00,1,7732.31,7353.59
2019-01-18 03:00:00,1,7490.97,7289.96
2019-01-18 03:30:00,1,7449.54,7251.47
2019-01-18 04:00:00,1,7402.12,7272.24
2019-01-18 12:30:00,1,9171.67,12461.71
2019-01-18 13:00:00,1,9238.08,12716.23
2019-01-18 13:30:00,1,9157.38,12896.12
2019-01-18 14:00:00,1,9079.01,13163.15
2019-01-18 14:30:00,1,8978.66,13412.77
2019-01-18 15:00:00,1,9016.07,13727.34
2019-01-18 15:30:00,1,9053.28,13947.46
2019-01-18 16:00:00,1,9101.69,13861.07
2019-01-18 16:30:00,1,9129.51,13902.22
2019-01-18 17:00:00,1,9082.08,13847.15
2019-01-18 17:30:00,1,9073.33,13687.03
2019-01-18 18:00:00,1,9001.92,13188.25
2019-01-18 18:30:00,1,8978.24,12635.16
2019-01-18 19:00:00,1,8918.3,12199.38
2019-01-18 19:30:00,1,8787.61,11867.81
2019-01-18 20:00:00,1,8701.23,11617.63
2019-01-18 20:30:00,1,8669.36,11373.58
2019-01-18 21:00:00,1,8525.38,10887.4
2019-01-18 21:30:00,1,8352.71,10647.32
2019-01-18 22:00:00,1,8164.23,10232.78
2019-01-18 22:30:00,1,8071.86,9820.18
2019-01-18 23:00:00,1,7955.88,9458.15
2019-01-18 23:30:00,1,7772.33,9103.67
2019-01-22 00:00:00,1,8521.02,7889.66
2019-01-22 00:30:00,1,8320.19,7690.76
2019-01-22 01:00:00,1,8067.36,7518.68
2019-01-22 01:30:00,1,7770.02,7266.46
2019-01-22 02:00:00,1,7466.78,7072.75
2019-01-22 02:30:00,1,7325.48,6928.89
2019-01-22 03:00:00,1,7142.52,6843.67
2019-01-22 03:30:00,1,7037.81,6825.43
2019-01-22 04:00:00,1,7085.13,6853.96
2019-01-22 12:30:00,1,11130.14,11067.23
2019-01-22 13:00:00,1,11201.5,11300.87
2019-01-22 13:30:00,1,11284.68,11556.16
2019-01-22 14:00:00,1,11268.11,11796.81
2019-01-22 14:30:00,1,11271.21,12052.16
2019-01-22 15:00:00,1,11108.28,12323.86
2019-01-22 15:30:00,1,10920.22,12521.43
2019-01-22 16:00:00,1,10756.29,12683.78
2019-01-22 16:30:00,1,10715.66,12827.31
2019-01-22 17:00:00,1,10583.92,12802.29
2019-01-22 17:30:00,1,10515.85,12595.05
2019-01-22 18:00:00,1,10172.81,12394.64
2019-01-22 18:30:00,1,10114.88,12112.18
2019-01-22 19:00:00,1,9888.74,11724.34
2019-01-22 19:30:00,1,9712.23,11471.19
2019-01-22 20:00:00,1,9665.29,11027.5
2019-01-22 20:30:00,1,9584.98,10769.44
2019-01-22 21:00:00,1,9357.02,10359.33
2019-01-22 21:30:00,1,9002.49,9997.65
2019-01-22 22:00:00,1,8812.05,9601.92
2019-01-22 22:30:00,1,8542.83,9211.98
2019-01-22 23:00:00,1,8469.37,8826.53
2019-01-22 23:30:00,1,8334.13,8557.26
2019-01-25 00:00:00,1,9230.24,7826.14
2019-01-25 00:30:00,1,8959.53,7678.54
2019-01-25 01:00:00,1,8572.27,7488.75
2019-01-25 01:30:00,1,8251.83,7237.1
2019-01-25 02:00:00,1,7930.4,7014.3
2019-01-25 02:30:00,1,7625.08,6887.93
2019-01-25 03:00:00,1,7523.3,6810.0
2019-01-25 03:30:00,1,7376.68,6791.84
2019-01-25 04:00:00,1,7330.69,6849.2
2019-01-25 12:30:00,1,11214.65,10797.02
2019-01-25 13:00:00,1,11233.03,10988.56
2019-01-25 13:30:00,1,11274.68,11197.84
2019-01-25 14:00:00,1,11315.56,11442.11
2019-01-25 14:30:00,1,11431.08,11652.66
2019-01-25 15:00:00,1,11462.05,11899.67
2019-01-25 15:30:00,1,11613.09,12087.71
2019-01-25 16:00:00,1,11700.39,12269.73
2019-01-25 16:30:00,1,11771.98,12385.29
2019-01-25 17:00:00,1,11694.02,12440.08
2019-01-25 17:30:00,1,11617.11,12446.98
2019-01-25 18:00:00,1,11522.4,12260.57
2019-01-25 18:30:00,1,11306.54,12073.75
