"full_date","n_obv","min_temp","min_temp_time","max_temp","max_temp_time","extreme_flag","extreme_type","n_low","n_high","n_low_run","n_high_run","first_low_time","last_low_time","first_high_time","last_high_time"
2019-12-01,48,17.2,2019-12-01 04:00:00,23.5,2019-12-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-12-01,55,17.5,2020-12-01 05:00:00,27.9,2020-12-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-02-01,49,19.6,2010-02-01 05:30:00,29.2,2010-02-01 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-02-01,55,20.5,2011-02-01 02:30:00,40.6,2011-02-01 16:30:00,TRUE,"Hot",0,15,0,15,NA,NA,2011-02-01 11:00:00,2011-02-01 18:00:00
2012-02-01,64,17,2012-02-01 04:00:00,20.4,2012-02-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-02-01,80,16.3,2013-02-02,22.9,2013-02-01 07:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-02-01,48,21.5,2014-02-01 05:30:00,27.3,2014-02-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-02-01,48,17.1,2015-02-01 04:30:00,24.5,2015-02-01 10:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-02-01,55,16.7,2016-02-01 23:30:00,25.1,2016-02-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-02-01,52,20.4,2017-02-01 02:30:00,22.9,2017-02-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-02-01,56,16.3,2018-02-01 20:30:00,22.9,2018-02-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-02-01,63,17.8,2019-02-01 18:30:00,21.2,2019-02-01 10:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-02-01,48,23.5,2020-02-01 05:00:00,40.1,2020-02-01 12:30:00,TRUE,"Hot",0,14,0,14,NA,NA,2020-02-01 10:00:00,2020-02-01 16:30:00
2021-02-01,53,18.6,2021-02-02,27.2,2021-02-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-03-01,66,16.7,2010-03-01 12:30:00,20.5,2010-03-01,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-03-01,58,19.9,2011-03-01 04:00:00,33.6,2011-03-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-03-01,53,18.9,2012-03-01 22:00:00,29.9,2012-03-01 15:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-03-01,77,16.2,2013-03-01,19.8,2013-03-01 21:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-03-01,81,17.7,2014-03-01 03:00:00,22.7,2014-03-01 15:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-03-01,85,18.3,2015-03-01 05:30:00,34.9,2015-03-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-03-01,53,18.7,2016-03-01 02:00:00,28.8,2016-03-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-03-01,91,20,2017-03-01 07:30:00,24.7,2017-03-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-03-01,52,20,2018-03-01 23:00:00,24.5,2018-03-01 10:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-03-01,49,19,2019-03-01 05:30:00,27.9,2019-03-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-03-01,56,16.6,2020-03-01 04:30:00,28.8,2020-03-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2021-03-01,61,17.8,2021-03-01 04:30:00,30.3,2021-03-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-04-01,47,14.2,2010-04-01 05:30:00,24.5,2010-04-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-04-01,50,14.3,2011-04-01 03:30:00,23.7,2011-04-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-04-01,55,13.4,2012-04-01 04:00:00,26.2,2012-04-01 11:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-04-01,48,16.8,2013-04-01 01:30:00,23.3,2013-04-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-04-01,73,15.1,2014-04-01 02:00:00,27.3,2014-04-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-04-01,74,14.7,2015-04-01,23.2,2015-04-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-04-01,48,13.7,2016-04-01 05:00:00,26.5,2016-04-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-04-01,48,12.8,2017-04-01 06:30:00,24.6,2017-04-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-04-01,52,16.5,2018-04-01 06:00:00,30,2018-04-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-04-01,48,10.5,2019-04-01 05:30:00,20.7,2019-04-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-04-01,59,16.2,2020-04-01 06:30:00,23.7,2020-04-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-05-01,43,11.8,2010-05-01 03:00:00,21.6,2010-05-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-05-01,52,11.4,2011-05-01 23:00:00,21.3,2011-05-01 11:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-05-01,52,9.3,2012-05-01 06:00:00,22.3,2012-05-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-05-01,54,13.6,2013-05-01 07:00:00,24.9,2013-05-01 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-05-01,48,9.8,2014-05-01 06:30:00,20.9,2014-05-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-05-01,67,11.8,2015-05-01 03:30:00,19.3,2015-05-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-05-01,61,14.4,2016-05-01 03:00:00,27.3,2016-05-01 16:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-05-01,55,9.4,2017-05-01 06:00:00,24.4,2017-05-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-05-01,48,9.8,2018-05-01 05:30:00,24.6,2018-05-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-05-01,48,13.6,2019-05-01 03:00:00,24,2019-05-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-05-01,56,8.9,2020-05-01 05:30:00,16.5,2020-05-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-06-01,53,9.5,2010-06-01 23:00:00,18.4,2010-06-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-06-01,55,13.5,2011-06-01 22:00:00,19,2011-06-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-06-01,60,8.8,2012-06-01 03:30:00,18.5,2012-06-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-06-01,57,9.5,2013-06-01 05:00:00,21,2013-06-01 10:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-06-01,56,12.2,2014-06-01 23:30:00,19.2,2014-06-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-06-01,50,4.7,2015-06-01,14.4,2015-06-01 15:00:00,TRUE,"Cold",2,0,1,0,2015-06-01,2015-06-01 23:30:00,NA,NA
2016-06-01,55,10.1,2016-06-01 23:30:00,17.8,2016-06-01 11:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-06-01,48,7,2017-06-01 02:30:00,16.6,2017-06-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-06-01,52,11.1,2018-06-01 00:30:00,16.1,2018-06-01 15:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-06-01,48,7.5,2019-06-01 06:00:00,18.6,2019-06-01 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-06-01,58,8.4,2020-06-01 22:30:00,22.3,2020-06-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-07-01,48,1.6,2010-07-01 02:30:00,16.9,2010-07-01 14:30:00,TRUE,"Cold",16,0,12,0,2010-07-01,2010-07-01 07:30:00,NA,NA
2011-07-01,59,9.3,2011-07-01 06:30:00,16.4,2011-07-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-07-01,49,6,2012-07-01 03:00:00,15.5,2012-07-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-07-01,53,7.1,2013-07-02,19.7,2013-07-01 15:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-07-01,48,4.8,2014-07-01 05:30:00,17.8,2014-07-01 15:00:00,TRUE,"Cold",1,0,1,0,2014-07-01 05:30:00,2014-07-01 05:30:00,NA,NA
2015-07-01,52,5.6,2015-07-01 22:00:00,15.6,2015-07-01 15:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-07-01,48,4.9,2016-07-01 05:30:00,16.3,2016-07-01 15:00:00,TRUE,"Cold",1,0,1,0,2016-07-01 05:30:00,2016-07-01 05:30:00,NA,NA
2017-07-01,48,4.1,2017-07-01 23:30:00,15.1,2017-07-01 13:00:00,TRUE,"Cold",7,0,4,0,2017-07-01 22:00:00,2017-07-01 06:30:00,NA,NA
2018-07-01,48,3.4,2018-07-01 05:30:00,16.6,2018-07-01 13:00:00,TRUE,"Cold",9,0,9,0,2018-07-01 03:00:00,2018-07-01 07:00:00,NA,NA
2019-07-01,48,3.8,2019-07-01 03:00:00,17.1,2019-07-01 15:00:00,TRUE,"Cold",10,0,10,0,2019-07-01 02:30:00,2019-07-01 07:00:00,NA,NA
2020-07-01,51,4.3,2020-07-01 04:30:00,21.1,2020-07-01 14:00:00,TRUE,"Cold",3,0,1,0,2020-07-01 04:30:00,2020-07-01 07:00:00,NA,NA
2010-08-01,51,4.8,2010-08-01 07:00:00,20.3,2010-08-01 14:30:00,TRUE,"Cold",1,0,1,0,2010-08-01 07:00:00,2010-08-01 07:00:00,NA,NA
2011-08-01,58,5.1,2011-08-01 06:30:00,21.9,2011-08-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-08-01,48,5.4,2012-08-01 04:00:00,15,2012-08-01 15:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-08-01,59,5.9,2013-08-01 07:00:00,18.1,2013-08-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
