,demand,demand,demand,demand,demand,temperature,temperature,temperature,temperature,temperature
,mean,std,min,max,count,mean,std,min,max,count
extreme,,,,,,,,,,
False,8096.299158915236,1275.749730686869,5249.200000000001,14391.5,38165,17.628045278542004,5.568086017929758,5.0,35.0,38165
True,8549.08936123348,1795.6649036867093,6028.76,14552.795,681,9.554247430249633,12.756336297899233,0.7,44.650000000000006,681
